lambda [mm], flux, U [zalezy od podzialki], przelicznik woltow
0.45,    0.041,    8.27,   1000
0.46,    0.05411,  10.62,  1000
0.47,    0.0684,   13.61,  1000
0.48,    0.085,    17.01,  1000
0.49,    0.106,    21.50,  1000
0.5,     0.13,     26.63,  1000
0.51,    0.159,    32.54,  1000
0.52,    0.192,    39.83,  1000
0.54,    0.268,    57.50,  1000
0.56,    0.37,     79.67,  1000
0.58,    0.48,     107.63, 1000
0.6,     0.66,     140.64, 1000
0.62,    0.775,    179.86, 1000
0.64,    0.955,    0.2225, 1
0.66,    1.16,     0.2705, 1
0.68,    1.42,     0.3244, 1
0.7,     1.64,     0.3808, 1
0.72,    1.92,     0.4368, 1
0.74,    2.17,     0.4963, 1
0.76,    2.41,     0.5549, 1
0.78,    2.61,     0.6175, 1
0.8,     2.85,     0.6882, 1
0.82,    3.13,     0.7812, 1
0.84,    3.5,      0.9083, 1
0.86,    4.2,      1.0783, 1
0.88,    5.1,      1.3262, 1
0.90,    6.2,      1.6093, 1
0.92,    7.4,      1.8988, 1
0.94,    8.6,      2.203,  1
0.96,    9.9,      2.481,  1
0.98,    11,       2.707,  1
1,      12.3,     2.831,  1
1.02,    13.5,     2.727,  1
1.04,    14.9,     2.368,  1
1.06,    16,       1.8277, 1
1.08,    17.1,     1.4308, 1
1.1,     18.1,     0.8970, 1
1.12,    19,       0.5806, 1
1.14,    19.9,     0.3615, 1
1.16,    20.7,     196.57, 1000
1.18,    21.65,    83.15,  1000
1.2,     22.4,     38.31,  1000
1.25,    23.7,     4.12,   1000
1.3,     24.5,     2.38,   1000
1.35,    24.2,     1.93,   1000
1.4,     23.85,    1.65,   1000
1.5,     24.6,     1.27,   1000
1.6,     23.2,     0.98,   1000
1.7,     20.2,     0.80,   1000
1.8,     15.9,     0.67,   1000
1.9,     12.5,     0.58,   1000
2.0,     10.45,    0.50,   1000
